defined_class        	defined_class_label 	molecular_function	molecular_function_label
DDPHENO:0000150	abolished chemorepellant activity	GO:0045499	chemorepellant activity
DDPHENO:0000295	abolished protein binding	GO:0005515	protein binding
DDPHENO:0000322	abolished cellulose binding	GO:0030248	cellulose binding
DDPHENO:0000326	abolished lipid binding	GO:0008289	lipid binding
DDPHENO:0000328	abolished small molecule binding	GO:0036094	small molecule binding
DDPHENO:0000330	abolished cAMP binding	GO:0030552	cAMP binding
DDPHENO:0000334	abolished folic acid binding	GO:0005542	folic acid binding
DDPHENO:0000347	abolished protein kinase activity	GO:0004672	protein kinase activity
DDPHENO:0001289	abolished catalytic activity	GO:0003824	catalytic activity
DDPHENO:0001290	abolished 3',5'-cyclic-AMP phosphodiesterase activity	GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity
DDPHENO:0001291	abolished 3',5'-cyclic-GMP phosphodiesterase activity	GO:0047555	3',5'-cyclic-GMP phosphodiesterase activity
DDPHENO:0001293	abolished adenylate cyclase activity	GO:0004016	adenylate cyclase activity
DDPHENO:0001295	abolished guanylyl cyclase activity	GO:0004383	guanylyl cyclase activity
DDPHENO:0001299	abolished guanyl-nucleotide exchange factor activity	GO:0005085	guanyl-nucleotide exchange factor activity
DDPHENO:0001332	abolished catalase activity	GO:0004096	catalase activity
DDPHENO:0001386	abolished cytochrome C oxidase activity	GO:0004129	cytochrome-c oxidase activity
DDPHENO:0001409	abolished phosphatidylinositol binding	GO:0035091	phosphatidylinositol binding
DDPHENO:0001410	abolished phosphatidylinositol-4,5-bisphosphate binding	GO:0005546	phosphatidylinositol-4,5-bisphosphate binding
DDPHENO:0001434	abolished histone deacetylase activity	GO:0004407	histone deacetylase activity
